NAME                    VERSION                            TYPE   
PySocks                 1.7.1                              python  
SQLAlchemy              1.4.22                             python  
adduser                 3.118ubuntu2                       deb     
aiohttp                 3.7.4                              python  
apipkg                  1.5                                python  
apt                     2.0.9                              deb     
async-timeout           3.0.1                              python  
atomicwrites            1.4.0                              python  
attrs                   21.2.0                             python  
base-files              11ubuntu5.5                        deb     
base-passwd             3.5.47                             deb     
bash                    5.0-6ubuntu1.2                     deb     
brotlipy                0.7.0                              python  
bsdutils                1:2.34-0.1ubuntu9.3                deb     
bzip2                   1.0.8-2                            deb     
ca-certificates         20211016~20.04.1                   deb     
cassandra-driver        3.25.0                             python  
certifi                 2021.10.8                          python  
certifi                 2021.5.30                          python  
cffi                    1.14.6                             python  
chardet                 4.0.0                              python  
charset-normalizer      2.0.4                              python  
charset-normalizer      2.1.0                              python  
colorama                0.4.4                              python  
colorama                0.4.5                              python  
conda                   4.13.0                             python  
conda-package-handling  1.7.3                              python  
conda-package-handling  1.8.1                              python  
coreutils               8.30-3ubuntu2                      deb     
crate                   0.26.0                             python  
cryptography            3.4.7                              python  
cryptography            36.0.2                             python  
cx-Oracle               8.2.1                              python  
dash                    0.5.10.2-6                         deb     
dask                    1.2.2                              python  
debconf                 1.5.73                             deb     
debianutils             4.9.1                              deb     
diffutils               1:3.7-3                            deb     
dpkg                    1.19.7ubuntu3.2                    deb     
e2fsprogs               1.45.5-2ubuntu1.1                  deb     
fdisk                   2.34-0.1ubuntu9.3                  deb     
findutils               4.7.0-1ubuntu1                     deb     
gcc-10-base             10.3.0-1ubuntu1~20.04              deb     
git                     1:2.25.1-1ubuntu3.5                deb     
git-man                 1:2.25.1-1ubuntu3.5                deb     
gpgv                    2.2.19-3ubuntu2.2                  deb     
greenlet                0.4.13                             python  
greenlet                1.1.1                              python  
grep                    3.4-1                              deb     
gzip                    1.10-0ubuntu4.1                    deb     
hostname                3.23                               deb     
hpy                     0.0.3                              python  
idna                    2.10                               python  
idna                    3.3                                python  
iniconfig               1.1.1                              python  
init-system-helpers     1.57                               deb     
joblib                  1.1.0                              python  
libacl1                 2.2.53-6                           deb     
libapt-pkg6.0           2.0.9                              deb     
libasn1-8-heimdal       7.7.0+dfsg-1ubuntu1                deb     
libattr1                1:2.4.48-5                         deb     
libaudit-common         1:2.8.5-2ubuntu6                   deb     
libaudit1               1:2.8.5-2ubuntu6                   deb     
libblkid1               2.34-0.1ubuntu9.3                  deb     
libbrotli1              1.0.7-6ubuntu0.1                   deb     
libbz2-1.0              1.0.8-2                            deb     
libc-bin                2.31-0ubuntu9.9                    deb     
libc6                   2.31-0ubuntu9.9                    deb     
libcap-ng0              0.7.9-2.1build1                    deb     
libcom-err2             1.45.5-2ubuntu1.1                  deb     
libcrypt1               1:4.4.10-10ubuntu4                 deb     
libcurl3-gnutls         7.68.0-1ubuntu2.12                 deb     
libdb5.3                5.3.28+dfsg1-0.6ubuntu2            deb     
libdebconfclient0       0.251ubuntu1                       deb     
liberror-perl           0.17029-1                          deb     
libexpat1               2.2.9-1ubuntu0.4                   deb     
libext2fs2              1.45.5-2ubuntu1.1                  deb     
